TxI_fixed,TxQ_fixed,RxI_fixed,RxQ_fixed
196608,65536,199207,74015
-65536,65536,-47503,71283
65536,-196608,69068,-185459
-196608,65536,-208780,84317
65536,-196608,58688,-185259
-65536,-196608,-56688,-183955
-196608,-196608,-220262,-227059
-196608,196608,-216331,192109
-65536,-65536,-65379,-51401
-196608,65536,-182673,48417
196608,196608,215762,197951
196608,65536,193426,73148
-196608,196608,-181062,203098
65536,65536,66595,70940
-196608,65536,-219050,74313
65536,-65536,65418,-62887
-65536,65536,-74606,44098
196608,196608,210064,204037
196608,65536,196232,69709
-65536,-65536,-84263,-86781
-65536,65536,-87513,85755
196608,196608,196301,204431
-65536,65536,-101003,45308
-196608,-65536,-204201,-77512
-196608,-65536,-193222,-73802
65536,-65536,50046,-73812
65536,-65536,80102,-61242
65536,-196608,82989,-210916
-196608,-65536,-211507,-49004
196608,65536,192240,80862
65536,65536,80113,74612
-196608,65536,-196627,66184
196608,65536,176173,79274
-65536,-196608,-67636,-200652
-196608,-196608,-209107,-207225
-65536,-196608,-49296,-179168
65536,65536,74416,70189
196608,196608,192010,186584
-196608,196608,-194525,190486
65536,65536,46366,54744
65536,-65536,54490,-35902
196608,-65536,219370,-65476
-65536,65536,-64752,67848
65536,-65536,79166,-54967
196608,-65536,200008,-83346
196608,196608,215868,212677
-196608,65536,-225900,56628
65536,-196608,62778,-169790
-65536,196608,-41433,192026
-65536,65536,-51524,80742
65536,65536,84958,28947
-65536,196608,-65635,179387
196608,-65536,188737,-69839
196608,-65536,181556,-95296
65536,196608,49461,205414
-65536,65536,-53709,70122
196608,-196608,204129,-211128
65536,65536,64560,65302
196608,-196608,204055,-184790
65536,-196608,67624,-227427
-196608,65536,-182507,46874
-196608,65536,-182647,60626
65536,65536,49916,65884
-196608,-196608,-192598,-197467
-196608,-65536,-221064,-52504
-65536,-196608,-63587,-189615
-196608,-196608,-187752,-186399
-65536,-196608,-84788,-216976
-196608,196608,-202711,198730
-196608,-65536,-196468,-70037
196608,-196608,200036,-175182
65536,-196608,61453,-194052
-196608,196608,-213787,186803
65536,-196608,64745,-184115
65536,-65536,41324,-57281
196608,-196608,193199,-208648
65536,-65536,59068,-70643
65536,-65536,63568,-70393
-196608,65536,-204804,83524
196608,196608,174514,199586
65536,196608,60167,207258
-196608,196608,-182967,189379
196608,65536,215094,70442
-196608,65536,-160861,84636
196608,-65536,221398,-70827
196608,196608,179068,198296
-65536,65536,-71521,45558
-65536,65536,-65870,54317
-65536,65536,-66790,60635
65536,-65536,66555,-81082
-196608,-196608,-161326,-177235
196608,65536,180751,53256
-196608,65536,-207064,77066
65536,65536,89625,68274
-65536,196608,-74563,197060
-65536,196608,-59768,218387
-196608,65536,-181446,32408
-196608,-65536,-189479,-68411
196608,-196608,199418,-212440
-196608,196608,-182853,167865
196608,-196608,183521,-214116
196608,65536,189334,65789
-65536,196608,-57687,185979
-196608,-196608,-226934,-183469
-65536,65536,-44777,62402
196608,196608,201054,191849
-65536,65536,-63293,60843
-65536,196608,-89430,195165
196608,-196608,177754,-202741
65536,-196608,59695,-209083
65536,196608,77368,211104
-196608,-65536,-227039,-74682
-65536,65536,-53983,59916
-196608,-196608,-201884,-190315
-65536,-65536,-68810,-60865
-196608,196608,-192892,183515
-196608,-196608,-192661,-185544
196608,-196608,186168,-188729
65536,65536,74694,68144
65536,-65536,31547,-71857
65536,65536,58935,59576
196608,196608,198860,193651
65536,-196608,60481,-214660
196608,-65536,169836,-66111
-65536,65536,-54428,78609
196608,-65536,178314,-52693
-196608,196608,-197597,191027
-196608,-196608,-194365,-181015
-65536,-65536,-65245,-37606
-65536,196608,-48405,191974
-196608,196608,-197389,206742
65536,-196608,71800,-229768
65536,65536,64717,47099
65536,-196608,74518,-195273
-65536,-196608,-45115,-211361
-196608,-65536,-194592,-35653
196608,-65536,208065,-56774
-65536,65536,-44209,79690
-196608,196608,-176719,196183
65536,-65536,59890,-80237
65536,65536,80724,57933
65536,-196608,69182,-192880
-196608,196608,-180236,187260
65536,-196608,73869,-186772
-196608,196608,-192568,207033
-65536,-65536,-59176,-65463
196608,-196608,200348,-223361
65536,-196608,69849,-171479
-65536,196608,-67864,193491
-65536,65536,-69225,105239
-196608,196608,-170770,206170
-65536,-65536,-58538,-68613
-196608,65536,-205009,72099
-196608,-196608,-200673,-226199
-65536,-196608,-50057,-181571
-196608,-196608,-207396,-158991
-196608,-65536,-218326,-96152
-196608,-196608,-217248,-200820
-65536,-196608,-90873,-198152
196608,65536,177575,78362
-196608,-65536,-213913,-34674
65536,-196608,85836,-190997
-65536,65536,-66213,96922
-65536,-196608,-70859,-194110
-196608,65536,-217760,72151
-65536,-196608,-67633,-191798
65536,-65536,40077,-47653
196608,196608,191194,190419
-65536,-65536,-35282,-53545
-65536,65536,-55808,47500
-65536,-196608,-68610,-200777
-196608,-65536,-186377,-74867
65536,-196608,57893,-195319
196608,-65536,184875,-70168
65536,65536,90509,82127
65536,196608,48797,183732
-65536,-65536,-70725,-90907
196608,-196608,201093,-216498
65536,-196608,51816,-182039
196608,-196608,206142,-210816
-196608,65536,-201101,71366
-65536,65536,-55807,61216
-196608,196608,-188021,208687
196608,-196608,193047,-199990
-65536,196608,-40468,237118
-196608,-196608,-206358,-168792
-65536,-65536,-45769,-70155
-196608,-65536,-179390,-72162
65536,-65536,91487,-19634
-65536,-196608,-62985,-212418
196608,-65536,185052,-66342
-65536,-196608,-35102,-196279
196608,196608,191703,196574
-196608,65536,-208530,40056
-196608,-65536,-199389,-58259
196608,-196608,182222,-210828
-196608,-196608,-188898,-175565
-65536,196608,-74412,175272
-196608,196608,-200821,197479
196608,65536,210790,33060
196608,196608,205748,165037
65536,65536,65764,53236
196608,65536,199112,55304
-196608,196608,-196428,218087
196608,65536,190290,64941
-196608,-65536,-196645,-46597
-196608,65536,-189415,59970
65536,-196608,63687,-187726
-196608,-196608,-190457,-207239
196608,-196608,184347,-208236
196608,196608,187758,169925
196608,-196608,185847,-191688
-196608,196608,-204890,200449
196608,-196608,215471,-185217
-65536,65536,-54896,68685
-65536,196608,-81318,226300
196608,-196608,203019,-194028
-196608,65536,-202332,80071
196608,196608,186608,191858
-65536,65536,-87308,52223
-196608,65536,-182365,76053
196608,65536,176622,64230
-196608,196608,-197369,208801
196608,196608,182740,201780
65536,-65536,76905,-77157
-196608,-65536,-201508,-49792
-65536,-65536,-67506,-78303
-65536,-65536,-67012,-56372
-65536,196608,-61102,215389
-65536,-65536,-65345,-71172
196608,-196608,195974,-179668
196608,-65536,189011,-59709
-196608,-196608,-219685,-184123
65536,-196608,49144,-208870
65536,65536,76065,68676
-196608,65536,-201090,44902
-65536,65536,-75267,90614
65536,-65536,44936,-95050
65536,196608,40336,191409
-196608,-196608,-206913,-210262
-65536,196608,-52522,206495
196608,196608,188445,224802
196608,-65536,202477,-55939
65536,196608,56699,240004
196608,196608,205970,176415
-196608,65536,-201763,46468
65536,65536,47484,52448
65536,-196608,61595,-194831
-65536,-196608,-38660,-211657
196608,65536,222837,54521
-65536,-65536,-58406,-56443
65536,-65536,63527,-83695
196608,-196608,201061,-213214
-65536,65536,-60893,59696
196608,-65536,196023,-69997
65536,196608,71998,211409
65536,-196608,68587,-209806
65536,-196608,60906,-207163
-196608,196608,-214124,205132
-65536,196608,-72278,208352
-65536,-196608,-53820,-175671
65536,196608,65075,203483
-65536,-65536,-61136,-63626
65536,-196608,61389,-188181
-65536,-65536,-81064,-69455
196608,-196608,193111,-200635
-65536,-65536,-80519,-91534
65536,65536,49617,78628
-65536,-65536,-47868,-62437
196608,196608,190452,207995
196608,65536,185742,24272
196608,-196608,220318,-197298
65536,-65536,77479,-78078
-196608,-196608,-202052,-174607
65536,65536,71803,74537
196608,196608,193153,200041
-65536,196608,-75687,190278
196608,196608,203564,202429
-196608,-196608,-201360,-210210
-196608,196608,-195502,195147
196608,196608,211575,188132
65536,-196608,78889,-163394
-196608,-196608,-204669,-175067
196608,65536,203730,81114
65536,196608,49008,174769
-65536,65536,-58935,78200
65536,-65536,67712,-62786
-196608,-65536,-191054,-47607
65536,-65536,61177,-60812
65536,-65536,96077,-65634
-65536,-196608,-78744,-193182
196608,65536,210845,39076
65536,65536,50417,54290
-65536,-196608,-58145,-191137
-196608,-65536,-188170,-48839
196608,65536,197414,57469
-196608,196608,-203867,196010
196608,-196608,198676,-220069
65536,-196608,69449,-175223
65536,196608,91766,212929
196608,-65536,183824,-55980
-196608,-65536,-204755,-59575
-196608,65536,-192435,88288
-196608,196608,-200360,184811
65536,65536,64070,52154
196608,-65536,212293,-49980
196608,65536,155279,80107
-196608,196608,-205371,179118
65536,196608,40003,188821
196608,196608,179084,221360
196608,-65536,231846,-59503
-196608,-196608,-187842,-185073
-196608,-196608,-182663,-213593
196608,-196608,195428,-186985
65536,65536,76654,44734
-65536,196608,-91424,167595
196608,-65536,211824,-54885
196608,-196608,184594,-175587
65536,-196608,57750,-200327
196608,65536,204011,57527
-65536,65536,-60899,90607
65536,-196608,66776,-199462
-65536,196608,-85511,195644
-65536,196608,-64073,221432
196608,65536,210684,60354
-65536,65536,-73339,55952
196608,196608,215877,208559
196608,65536,183819,55104
65536,65536,65632,63417
65536,196608,88035,177277
65536,196608,55551,199325
196608,-65536,212053,-64538
-65536,65536,-36599,79722
-65536,65536,-63029,78098
65536,-65536,57813,-57454
65536,65536,54212,71314
196608,65536,215726,64463
-196608,-196608,-177899,-187675
-196608,-196608,-175369,-212908
196608,-196608,196127,-231030
-196608,-65536,-181400,-48509
-196608,65536,-197324,75415
-196608,-65536,-209549,-67397
65536,-65536,82010,-49789
-65536,65536,-41593,54816
-65536,196608,-80492,186270
65536,196608,50304,184238
65536,65536,66122,73854
65536,196608,79547,173411
-196608,-196608,-213223,-207847
196608,65536,199935,69782
196608,-65536,187956,-83182
-196608,-196608,-186338,-206284
-196608,-65536,-208300,-97945
65536,196608,76846,205486
65536,65536,63217,55456
-65536,-196608,-79269,-212717
65536,65536,66469,46558
-196608,-196608,-225008,-202737
-65536,-196608,-73729,-219764
65536,-196608,70480,-168144
-65536,65536,-91500,30589
-65536,-196608,-103214,-203212
65536,-196608,31254,-195041
196608,65536,216056,54173
-196608,-65536,-197733,-62427
-196608,196608,-204411,184890
-65536,65536,-51685,87958
196608,65536,190681,49140
196608,-196608,200542,-231064
65536,65536,65913,46507
65536,65536,58634,71200
-196608,196608,-192297,194880
65536,65536,76868,76558
65536,-196608,62826,-189255
-65536,196608,-72285,187284
196608,65536,191589,58369
196608,-196608,162934,-202255
65536,196608,69684,224222
65536,65536,47817,75660
65536,-196608,74764,-168887
-196608,196608,-197933,208929
-196608,-196608,-195068,-197540
-65536,196608,-55273,181670
-196608,65536,-210186,68489
196608,-65536,202019,-66428
-196608,196608,-192686,195236
196608,65536,193900,62472
-196608,196608,-210210,166531
-196608,-65536,-187885,-47059
-65536,-196608,-55227,-197347
65536,-65536,67201,-86261
65536,-65536,49851,-58476
65536,-196608,57807,-209150
-65536,-65536,-66420,-57298
196608,65536,206697,78456
-196608,196608,-219813,211550
-65536,-65536,-73798,-67894
196608,196608,190707,190544
-65536,196608,-66756,187441
-65536,-196608,-84606,-207197
196608,-65536,193420,-65788
65536,-196608,60986,-199676
-196608,-196608,-211813,-208702
65536,196608,63807,179847
-65536,65536,-73466,63942
196608,196608,203870,190245
-65536,-196608,-78510,-213334
65536,-65536,66852,-53365
65536,65536,53690,91505
65536,65536,56747,79642
-196608,-65536,-192251,-76090
65536,-65536,68976,-66272
-196608,65536,-202719,88110
-196608,-196608,-200556,-213808
65536,65536,44234,77004
196608,65536,217165,44315
-65536,65536,-55462,90214
-65536,-196608,-55989,-202914
-196608,-65536,-219982,-32871
-196608,-65536,-205334,-40212
-196608,-65536,-201511,-67096
-65536,-196608,-93834,-207150
-196608,-196608,-183566,-193754
196608,-65536,217914,-68176
196608,196608,226824,190723
-196608,196608,-211935,172310
-65536,-65536,-63817,-73076
65536,196608,84921,180335
-65536,196608,-69253,204692
65536,-65536,57227,-51013
65536,-65536,38191,-54682
-196608,-196608,-180010,-191591
196608,196608,196326,184109
-196608,196608,-207296,199618
65536,-65536,69696,-53919
-196608,65536,-194366,56945
65536,-65536,68002,-63792
