TxI_fixed,TxQ_fixed,RxI_fixed,RxQ_fixed
-196608,-65536,-224342,6539
65536,-196608,16771,-191064
196608,65536,132675,166366
-196608,196608,-35102,220746
196608,65536,181933,79680
65536,196608,-46801,200587
196608,65536,283751,113257
196608,-65536,232258,-166912
65536,-196608,20821,-191629
196608,65536,142170,61450
-196608,-196608,-157318,-154287
-196608,196608,-211013,185658
-196608,-65536,-308969,-126136
-196608,-196608,-92341,-196179
196608,65536,171289,2363
-196608,-196608,-109357,-308927
196608,-196608,271192,-154188
-65536,196608,-123935,230390
196608,-65536,256884,-38286
-196608,-65536,-234613,10477
-65536,-196608,-174439,-235406
65536,-196608,40765,-280099
196608,196608,219806,192522
-196608,-196608,-223604,-216881
-196608,196608,-214521,147469
-196608,-65536,-129893,-70194
65536,-65536,71749,-101217
-65536,196608,-114734,89496
-65536,-196608,-24580,-222346
-196608,-65536,-185076,-131832
196608,65536,49498,79050
-196608,196608,-171618,158335
-196608,-65536,-173749,-684
196608,-65536,197782,28033
-196608,-65536,-144586,-25901
65536,65536,26309,-24951
-196608,65536,-176977,153349
65536,65536,-25880,157463
-196608,-196608,-172858,-195512
-65536,196608,48405,273787
196608,-196608,138568,-228793
-65536,65536,-109863,-43340
-196608,196608,-238030,152253
-196608,-196608,-189024,-95721
65536,-196608,3519,-283597
-196608,-196608,-172033,-196636
-196608,65536,-147204,67528
-196608,-65536,-165434,-95463
-65536,196608,-168705,170733
65536,65536,123594,69751
-65536,196608,-10850,163812
65536,65536,113967,-17427
-65536,-196608,-43784,-184063
-196608,-196608,-183762,-133988
-65536,-65536,-5307,-14805
-65536,-65536,46681,-112776
65536,196608,9936,123612
65536,-65536,128434,-82115
-65536,-65536,-70566,25929
65536,196608,57971,234272
65536,65536,-24105,106605
65536,-65536,48921,-13622
196608,65536,138428,90083
65536,-196608,38475,-189572
196608,-65536,132540,-26897
196608,-196608,170419,-228471
65536,-196608,41844,-279127
-65536,65536,-59891,107715
65536,196608,-28668,268817
-196608,-65536,-280939,-130773
-65536,65536,-44422,113487
196608,196608,150086,294664
196608,-196608,259296,-196739
-65536,-65536,-52394,-113258
-65536,-196608,-30138,-189431
65536,-196608,147836,-228726
196608,-65536,178540,-101516
-196608,196608,-230123,221880
65536,196608,116391,103047
-65536,-65536,-35811,-149775
196608,-65536,185679,-64411
-65536,65536,15641,64235
-65536,65536,-77918,85579
-65536,-196608,-63624,-87208
65536,-65536,66774,-59439
-196608,196608,-251132,231505
-196608,-196608,-192082,-253520
196608,-196608,278095,-151807
-65536,-196608,-39577,-227318
-196608,-196608,-194796,-192441
-65536,196608,-74973,190258
196608,-196608,215911,-136344
-65536,-65536,-21795,-141960
-196608,65536,-161065,-67668
-65536,196608,-84897,184156
-196608,-65536,-177660,-38202
196608,-65536,224608,-56653
-65536,-65536,-124296,6351
-196608,65536,-186793,91052
196608,65536,70518,32641
-65536,65536,-37385,-70129
196608,-65536,235132,-79381
-196608,65536,-152996,125507
-65536,-196608,-88583,-219480
-65536,65536,-47506,67188
-65536,196608,17537,221190
196608,-65536,279087,-124768
196608,-65536,194906,-29177
-196608,-196608,-188480,-101099
65536,65536,130346,55454
-65536,65536,-153092,-333
-65536,196608,-84384,192723
-196608,-196608,-118691,-326378
-65536,196608,-8643,216263
196608,196608,218151,222994
196608,-65536,108758,32220
-65536,-65536,-68448,-76854
-65536,65536,-99952,89367
196608,65536,215921,15289
-65536,196608,-112753,175814
196608,65536,136768,-23443
65536,196608,-54928,185244
65536,65536,136816,47724
-65536,65536,-88859,82991
-65536,-65536,-56368,-101917
-65536,-65536,-65667,-60674
196608,-65536,134334,-84985
65536,-65536,-7918,-84876
